RECID=R2017103970000003	阿SIR	āSIR
RECID=R2017103970003578	黄页	huánɡyè
RECID=R2017103970003579	黄页广告	huánɡyèɡuǎnɡɡào
RECID=R2017103970003580	黄源	huánɡyuán
RECID=R2017103970003581	黄灾	huánɡzāi
RECID=R2017103970003583	灰道	huīdào
RECID=R2017103970003584	灰技	huījì
RECID=R2017103970003585	灰客	huīkè
RECID=R2017103970003586	灰领	huīlǐnɡ
RECID=R2017103970003587	灰色	huīsè
RECID=R2017103970003588	灰色负收入	huīsèfùshōurù
RECID=R2017103970003589	灰色技能	huīsèjìnéng
RECID=R2017103970003590	灰色经济	huīsèjīnɡjì
RECID=R2017103970003591	灰色市场	huīsèshìchǎnɡ
RECID=R2017103970003592	灰色收入	huīsèshōurù
RECID=R2017103970003593	灰色消费	huīsèxiāofèi
RECID=R2017103970003594	灰色学费	huīsèxuéfèi
RECID=R2017103970003595	灰色状态	huīsèzhuànɡtài
RECID=R2017103970003596	灰哨	huīshào
RECID=R2017103970003597	灰市	huīshì
RECID=R2017103970003598	灰市场	huīshìchǎnɡ
RECID=R2017103970003599	灰颓	huītuí
RECID=R2017103970003600	灰箱	huīxiānɡ
RECID=R2017103970003601	回报率	huíbàolǜ
RECID=R2017103970003602	回踩	huícǎi
RECID=R2017103970003603	回槽	huícáo
RECID=R2017103970003604	回档	huídànɡ
RECID=R2017103970003605	回跌	huídiē
RECID=R2017103970003606	回读	huídú
RECID=R2017103970003607	回放	huífànɡ
RECID=R2017103970003608	回归教育	huíɡuījiàoyù
RECID=R2017103970003609	回缓	huíhuǎn
RECID=R2017103970003610	回拒	huíjù
RECID=R2017103970003611	回馈	huíkuì
RECID=R2017103970003612	回流	huíliú
RECID=R2017103970003613	回落	huíluò
RECID=R2017103970003614	回暖	huínuǎn
RECID=R2017103970003615	回聘	huípìn
RECID=R2017103970003616	回迁	huíqiān
RECID=R2017103970003617	回任	huírèn
RECID=R2017103970003618	回闪	huíshǎn
RECID=R2017103970003619	回顺	huíshùn
RECID=R2017103970003620	回帖	huítiě
RECID=R2017103970003621	回头率	huítóulǜ
RECID=R2017103970003622	回温	huíwēn
RECID=R2017103970003623	回稳	huíwěn
RECID=R2017103970003624	回扬	huíyánɡ
RECID=R2017103970003625	悔丁族	huǐdīnɡzú
RECID=R2017103970003626	毁景	huǐjǐnɡ
RECID=R2017103970003627	毁绿	huǐlǜ
RECID=R2017103970003628	毁遗	huǐyí
RECID=R2017103970003629	汇差	huìchā
RECID=R2017103970003630	汇唱	huìchànɡ
RECID=R2017103970003631	汇贩子	huìfànzi
RECID=R2017103970003632	汇付	huìfù
RECID=R2017103970003633	汇改	huìɡǎi
RECID=R2017103970003634	汇寄	huìjì
RECID=R2017103970003635	汇价	huìjià
RECID=R2017103970003636	汇民	huìmín
RECID=R2017103970003637	汇纳	huìnà
RECID=R2017103970003638	汇市	huìshì
RECID=R2017103970003639	汇制	huìzhì
RECID=R2017103970003640	汇转储	huìzhuǎnchǔ
RECID=R2017103970003641	会潮	huìcháo
RECID=R2017103970003642	会歌	huìɡē
RECID=R2017103970003643	会海	huìhǎi
RECID=R2017103970003644	会睡族	huìshuìzú
RECID=R2017103970003645	会所	huìsuǒ
RECID=R2017103970003646	会务	huìwù
RECID=R2017103970003647	会议餐	huìyìcān
RECID=R2017103970003648	会议服务	huìyìfúwù
RECID=R2017103970003649	会议旅游	huìyìlǚyóu
RECID=R2017103970003650	会议明星	huìyìmínɡxīnɡ
RECID=R2017103970003651	会议专业户	huìyìzhuānyèhù
RECID=R2017103970003652	会展经济	huìzhǎnjīnɡjì
RECID=R2017103970003653	会展业	huìzhǎnyè
RECID=R2017103970003654	贿金	huìjīn
RECID=R2017103970003655	贿款	huìkuǎn
RECID=R2017103970003656	贿赂罪	huìlùzuì
RECID=R2017103970003657	贿买	huìmǎi
RECID=R2017103970003658	贿品	huìpǐn
RECID=R2017103970003659	贿送	huìsònɡ
RECID=R2017103970003660	贿托	huìtuō
RECID=R2017103970003661	贿赠	huìzènɡ
RECID=R2017103970003662	惠农	huìnónɡ
RECID=R2017103970003663	惠农券	huìnónɡquàn
RECID=R2017103970003664	慧谷	huìɡǔ
RECID=R2017103970003666	昏哨	hūnshào
RECID=R2017103970003667	荤歌	hūnɡē
RECID=R2017103970003668	婚保	hūnbǎo
RECID=R2017103970003669	婚变	hūnbiàn
RECID=R2017103970003670	婚床	hūnchuánɡ
RECID=R2017103970003671	婚典	hūndiǎn
RECID=R2017103970003672	婚活吧	hūnhuóbā
RECID=R2017103970003673	婚活族	hūnhuózú
RECID=R2017103970003674	婚介	hūnjiè
RECID=R2017103970003675	婚介所	hūnjièsuǒ
RECID=R2017103970003676	婚恋	hūnliàn
RECID=R2017103970003677	婚龄	hūnlínɡ
RECID=R2017103970003678	婚内强奸	hūnnèiqiánɡjiān
RECID=R2017103970003679	婚奴	hūnnú
RECID=R2017103970003680	婚前财产公证	hūnqiáncáichǎnɡōnɡzhènɡ
RECID=R2017103970003681	婚庆	hūnqìnɡ
RECID=R2017103970003682	婚纱	hūnshā
RECID=R2017103970003683	婚纱游	hūnshāyóu
RECID=R2017103970003684	婚纱照	hūnshāzhào
RECID=R2017103970003685	婚史	hūnshǐ
RECID=R2017103970003686	婚托	hūntuō
RECID=R2017103970003687	婚外恋	hūnwàiliàn
RECID=R2017103970003688	婚外情	hūnwàiqínɡ
RECID=R2017103970003689	婚外同居	hūnwàitónɡjū
RECID=R2017103970003690	婚外孕	hūnwàiyùn
RECID=R2017103970003691	婚姻介绍所	hūnyīnjièshàosuǒ
RECID=R2017103970003692	混岗	hùnɡǎnɡ
RECID=R2017103970003693	混血大学	hùnxuědàxué
RECID=R2017103970003694	混族	hùnzú
RECID=R2017103970003696	活动广告	huódònɡɡuǎnɡɡào
RECID=R2017103970003697	活粉	huófěn
RECID=R2017103970003698	活份	huófen
RECID=R2017103970003699	活广告	huóɡuǎnɡɡào
RECID=R2017103970003700	活化	huóhuà
RECID=R2017103970003701	活态	huótài
RECID=R2017103970003702	活鲜鲜	huóxiānxiān
RECID=R2017103970003703	活心	huóxīn
RECID=R2017103970003704	活性水	huóxìnɡshuǐ
RECID=R2017103970003705	活用	huóyònɡ
RECID=R2017103970003706	火	huǒ
RECID=R2017103970003707	火案	huǒ’àn
RECID=R2017103970003708	火爆	huǒbào
RECID=R2017103970003709	火的	huǒdī
RECID=R2017103970003710	火箭书	huǒjiànshū
RECID=R2017103970003711	火箭鞋	huǒjiànxié
RECID=R2017103970003712	火炬手	huǒjùshǒu
RECID=R2017103970003713	火疗店	huǒliáodiàn
RECID=R2017103970003714	火山灰危机	huǒshānhuīwēijī
RECID=R2017103970003715	火星日	huǒxīnɡrì
RECID=R2017103970003716	货币分房	huòbìfēnfánɡ
RECID=R2017103970003717	货代	huòdài
RECID=R2017103970003718	货的	huòdī
RECID=R2017103970003719	货流	huòliú
RECID=R2017103970003720	货损	huòsǔn
RECID=R2017103970003723	机顶盒	jīdǐnɡhé
RECID=R2017103970003724	机龄	jīlínɡ
RECID=R2017103970003725	机盲	jīmánɡ
RECID=R2017103970003726	机男机女	jīnánjīnǚ
RECID=R2017103970003727	机器翻译	jīqìfānyì
RECID=R2017103970003728	机器毛虫	jīqìmáochónɡ
RECID=R2017103970003729	机器人	jīqìrén
RECID=R2017103970003730	机器人鸟	jīqìrénniǎo
RECID=R2017103970003731	机位	jīwèi
RECID=R2017103970003732	机务	jīwù
RECID=R2017103970003733	机绣	jīxiù
RECID=R2017103970003734	机恤	jīxù
RECID=R2017103970003735	机译	jīyì
RECID=R2017103970003736	机引	jīyǐn
RECID=R2017103970003737	机遇	jīyù
RECID=R2017103970003738	机运	jīyùn
RECID=R2017103970003739	机制	jīzhì
RECID=R2017103970003740	积案	jī’àn
RECID=R2017103970003741	积淀	jīdiàn
RECID=R2017103970003742	积分	jīfēn
RECID=R2017103970003743	积分榜	jīfēnbǎnɡ
RECID=R2017103970003744	积木型住宅	jīmùxínɡzhùzhái
RECID=R2017103970003745	基本家庭	jīběnjiātínɡ
RECID=R2017103970003746	基调	jīdiào
RECID=R2017103970003747	基盲	jīmánɡ
RECID=R2017103970003748	基民	jīmín
RECID=R2017103970003749	基尼系数	Jīníxìshù
RECID=R2017103970003750	基奴	jīnú
RECID=R2017103970003751	基期	jīqī
RECID=R2017103970003752	基态	jītài
RECID=R2017103970003753	基因	jīyīn
RECID=R2017103970003754	基因工程	jīyīnɡōnɡchénɡ
RECID=R2017103970003755	基因工程猪	jīyīn-ɡōnɡchénɡzhū
RECID=R2017103970003756	基因谷	jīyīnɡǔ
RECID=R2017103970003757	基因矫正	jīyīnjiǎozhènɡ
RECID=R2017103970003758	基因疗法	jīyīnliáofǎ
RECID=R2017103970003759	基因污染	jīyīnwūrǎn
RECID=R2017103970003760	基因芯片	jīyīnxīnpiàn
RECID=R2017103970003761	基因增补	jīyīnzēnɡbǔ
RECID=R2017103970003762	基因诊断	jīyīnzhěnduàn
RECID=R2017103970003763	基因置换	jīyīnzhìhuàn
RECID=R2017103970003764	基因组	jīyīnzǔ
RECID=R2017103970003765	基因组学	jīyīnzǔxué
RECID=R2017103970003766	基站	jīzhàn
RECID=R2017103970003767	畸恋	jīliàn
RECID=R2017103970003768	跻身	jīshēn
RECID=R2017103970003769	稽查特派员	jīchátèpàiyuán
RECID=R2017103970003770	激打	jīdǎ
RECID=R2017103970003771	激光唱片	jīɡuānɡchànɡpiàn
RECID=R2017103970003772	激光枪	jīɡuānɡqiānɡ
RECID=R2017103970003773	激光视盘	jīɡuānɡshìpán
RECID=R2017103970003774	激光锁	jīɡuānɡsuǒ
RECID=R2017103970003775	激光武器	jīɡuānɡwǔqì
RECID=R2017103970003776	激活	jīhuó
RECID=R2017103970003777	激进	jījìn
RECID=R2017103970003778	激剧	jījù
RECID=R2017103970003779	激励机制	jīlìjīzhì
RECID=R2017103970003780	激励效应	jīlìxiàoyìnɡ
RECID=R2017103970003781	激素门	jīsùmén
RECID=R2017103970003782	吉特巴	jítèbā
RECID=R2017103970003783	吉祥号	jíxiánɡhào
RECID=R2017103970003784	吉祥物	jíxiánɡwù
RECID=R2017103970003785	极境	jíjìnɡ
RECID=R2017103970003786	极客	jíkè
RECID=R2017103970003787	极客男	jíkènán
RECID=R2017103970003788	极品屋	jípǐnwū
RECID=R2017103970003789	极限运动	jíxiànyùndònɡ
RECID=R2017103970003790	极刑	jíxínɡ
RECID=R2017103970003791	极致	jízhì
RECID=R2017103970003792	即开式	jíkāishì
RECID=R2017103970003793	即开型	jíkāixínɡ
RECID=R2017103970003794	即时拍	jíshípāi
RECID=R2017103970003795	即食面	jíshímiàn
RECID=R2017103970003796	疾控	jíkònɡ
RECID=R2017103970003797	疾农	jínónɡ
RECID=R2017103970003798	疾迅	jíxùn
RECID=R2017103970003799	集彩	jícǎi
RECID=R2017103970003800	集藏	jícánɡ
RECID=R2017103970003801	集成电路卡	jíchénɡ-diànlùkǎ
RECID=R2017103970003802	集居	jíjū
RECID=R2017103970003803	集聚区	jíjùqū
RECID=R2017103970003804	集散	jísàn
RECID=R2017103970003805	集体无意识	jítǐwúyìshí
RECID=R2017103970003806	集团公司	jítuánɡōnɡsī
RECID=R2017103970003807	集优	jíyōu
RECID=R2017103970003808	集约经营	jíyuējīnɡyínɡ
RECID=R2017103970003809	集攒	jízǎn
RECID=R2017103970003810	集资诈骗罪	jízīzhàpiànzuì
RECID=R2017103970003811	辑选	jíxuǎn
RECID=R2017103970003812	嫉火	jíhuǒ
RECID=R2017103970003813	挤逼	jǐbī
RECID=R2017103970003814	挤农	jǐnónɡ
RECID=R2017103970003815	挤迫	jǐpò
RECID=R2017103970003816	计程车	jìchénɡchē
RECID=R2017103970003817	计划单列市	jìhuàdānlièshì
RECID=R2017103970003818	计划生	jìhuàshēnɡ
RECID=R2017103970003819	计价	jìjià
RECID=R2017103970003820	计盲	jìmánɡ
RECID=R2017103970003821	计算机安全	jìsuànjīānquán
RECID=R2017103970003822	计算机病毒	jìsuànjībìnɡdú
RECID=R2017103970003823	计算机网络	jìsuànjīwǎnɡluò
RECID=R2017103970003824	计灾	jìzāi
RECID=R2017103970003825	记协	Jìxié
RECID=R2017103970003826	记忆库	jìyìkù
RECID=R2017103970003827	记者险	jìzhěxiǎn
RECID=R2017103970003828	纪念币	jìniànbì
RECID=R2017103970003829	纪实	jìshí
RECID=R2017103970003830	技交会	Jìjiāohuì
RECID=R2017103970003831	技教	jìjiào
RECID=R2017103970003832	技联	Jìlián
RECID=R2017103970003833	技贸	jìmào
RECID=R2017103970003834	技贸结合	jìmàojiéhé
RECID=R2017103970003835	技术壁垒	jìshùbìlěi
RECID=R2017103970003836	技术出口	jìshùchūkǒu
RECID=R2017103970003837	技术官僚	jìshùɡuānliáo
RECID=R2017103970003838	技术密集型产业	jìshùmìjí-xínɡchǎnyè
RECID=R2017103970003839	技术移民	jìshùyímín
RECID=R2017103970003840	技术引进	jìshùyǐnjìn
RECID=R2017103970003841	技术炸弹	jìshùzhàdàn
RECID=R2017103970003842	技术宅	jìshùzhái
RECID=R2017103970003843	技术转让	jìshùzhuǎnrànɡ
RECID=R2017103970003844	技坛	jìtán
RECID=R2017103970003845	技援	jìyuán
RECID=R2017103970003846	技战术	jì-zhànshù
RECID=R2017103970003847	季后赛	jìhòusài
RECID=R2017103970003848	季节差	jìjiéchā
RECID=R2017103970003849	季前赛	jìqiánsài
RECID=R2017103970003850	继续教育	jìxùjiàoyù
RECID=R2017103970003851	寄发	jìfā
RECID=R2017103970003852	寄付	jìfù
RECID=R2017103970003853	寄宿家庭	jìsùjiātínɡ
RECID=R2017103970003854	寄托	Jì-Tuō
RECID=R2017103970003855	寄望	jìwànɡ
RECID=R2017103970003856	寂寞党	jìmòdǎnɡ
RECID=R2017103970003857	绩差股	jìchàɡǔ
RECID=R2017103970003858	绩劣股	jìlièɡǔ
RECID=R2017103970003859	绩平股	jìpínɡɡǔ
RECID=R2017103970003860	绩薪	jìxīn
RECID=R2017103970003861	绩优股	jìyōuɡǔ
RECID=R2017103970003863	加餐	jiācān
RECID=R2017103970003864	加戴	jiādài
RECID=R2017103970003865	加分门	jiāfēnmén
RECID=R2017103970003866	加幅	jiāfú
RECID=R2017103970003867	加负	jiāfù
RECID=R2017103970003868	加急时代	jiājíshídài
RECID=R2017103970003869	加盟	jiāménɡ
RECID=R2017103970003870	加密	jiāmì
RECID=R2017103970003871	加名潮	jiāmínɡcháo
RECID=R2017103970003872	加名税	jiāmínɡshuì
RECID=R2017103970003873	夹心广告	jiāxīnɡuǎnɡɡào
RECID=R2017103970003874	佳绩	jiājì
RECID=R2017103970003875	佳邮	jiāyóu
RECID=R2017103970003876	家暴	jiābào
RECID=R2017103970003877	家变	jiābiàn
RECID=R2017103970003878	家电病	jiādiànbìnɡ
RECID=R2017103970003879	家访小姐	jiāfǎnɡxiǎojiě
RECID=R2017103970003880	家轿	jiājiào
RECID=R2017103970003881	家教	jiājiào
RECID=R2017103970003882	家教会	Jiājiàohuì
RECID=R2017103970003883	家居	jiājū
RECID=R2017103970003884	家生	jiāshēnɡ
RECID=R2017103970003885	家饰	jiāshì
RECID=R2017103970003886	家庭办公室	jiātínɡbànɡōnɡ-shì
RECID=R2017103970003887	家庭暴力	jiātínɡbàolì
RECID=R2017103970003888	家庭餐	jiātínɡcān
RECID=R2017103970003889	家庭妇男	jiātínɡfùnán
RECID=R2017103970003890	家庭手机	jiātínɡshǒujī
RECID=R2017103970003891	家庭影院	jiātínɡyǐnɡyuàn
RECID=R2017103970003892	家庭主夫	jiātínɡzhǔfū
RECID=R2017103970003893	家务骰子	jiāwùtóuzi
RECID=R2017103970003894	家养	jiāyǎnɡ
RECID=R2017103970003895	家用	jiāyònɡ
RECID=R2017103970003896	家长学校	jiāzhǎnɡxuéxiào
RECID=R2017103970003897	家政服务	jiāzhènɡfúwù
RECID=R2017103970003898	家装	jiāzhuānɡ
RECID=R2017103970003899	家装病	jiāzhuānɡbìnɡ
RECID=R2017103970003900	嘉年华	jiāniánhuá
RECID=R2017103970003901	甲A	jiǎA
RECID=R2017103970003902	甲B	jiǎB
RECID=R2017103970003903	甲感	jiǎɡǎn
RECID=R2017103970003904	甲客族	jiǎkèzú
RECID=R2017103970003905	甲流	jiǎliú
RECID=R2017103970003906	甲流血	jiǎliúxuè
RECID=R2017103970003907	甲型H1N1流感	jiǎxínɡH1N1liúɡǎn
RECID=R2017103970003908	假唱	jiǎchànɡ
RECID=R2017103970003909	假出口	jiǎchūkǒu
RECID=R2017103970003910	假赌黑	jiǎ-dǔ-hēi
RECID=R2017103970003911	假风	jiǎfēnɡ
RECID=R2017103970003912	假祸	jiǎhuò
RECID=R2017103970003913	假捐门	jiǎjuānmén
RECID=R2017103970003914	假球	jiǎqiú
RECID=R2017103970003915	假摔	jiǎshuāi
RECID=R2017103970003916	假伪	jiǎwěi
RECID=R2017103970003917	假住院	jiǎzhùyuàn
RECID=R2017103970003918	价差	jiàchā
RECID=R2017103970003919	价改	jiàɡǎi
RECID=R2017103970003920	价格壁垒	jiàɡébìlěi
RECID=R2017103970003921	价格欺诈	jiàɡéqīzhà
RECID=R2017103970003922	价签戏法	jiàqiānxìfǎ
RECID=R2017103970003923	价位	jiàwèi
RECID=R2017103970003924	价扬	jiàyánɡ
RECID=R2017103970003925	价值工程	jiàzhíɡōnɡchénɡ
RECID=R2017103970003926	驾考合一	jiàkǎohéyī
RECID=R2017103970003927	架构	jiàɡòu
RECID=R2017103970003928	架桥铺路	jiàqiáopūlù
RECID=R2017103970003929	假日经济	jiàrìjīnɡjì
RECID=R2017103970003930	假日综合征	jiàrìzōnɡhézhēnɡ
RECID=R2017103970003931	嫁接	jiàjiē
RECID=R2017103970003933	坚冷	jiānlěnɡ
RECID=R2017103970003934	坚挺	jiāntǐnɡ
RECID=R2017103970003935	坚稳	jiānwěn
RECID=R2017103970003936	监督电话	jiāndūdiànhuà
RECID=R2017103970003937	监服	jiānfú
RECID=R2017103970003938	监管	jiānɡuǎn
RECID=R2017103970003939	监检	jiānjiǎn
RECID=R2017103970003940	监评	jiānpínɡ
RECID=R2017103970003941	监赛	jiānsài
RECID=R2017103970003942	监视门	jiānshìmén
RECID=R2017103970003943	监销	jiānxiāo
RECID=R2017103970003944	监证	jiānzhènɡ
RECID=R2017103970003945	兼并	jiānbìnɡ
RECID=R2017103970003946	兼容	jiānrónɡ
RECID=R2017103970003947	兼薪	jiānxīn
RECID=R2017103970003948	茧族	jiǎnzú
RECID=R2017103970003949	捡彩族	jiǎncǎizú
RECID=R2017103970003950	检测门	jiǎncèmén
RECID=R2017103970003951	检徽	jiǎnhuī
RECID=R2017103970003952	检控	jiǎnkònɡ
RECID=R2017103970003953	检身	jiǎnshēn
RECID=R2017103970003954	检务	jiǎnwù
RECID=R2017103970003955	检诊	jiǎnzhěn
RECID=R2017103970003956	减磅	jiǎnbànɡ
RECID=R2017103970003957	减仓	jiǎncānɡ
RECID=R2017103970003958	减肥	jiǎnféi
RECID=R2017103970003959	减肥蔬菜	jiǎnféishūcài
RECID=R2017103970003960	减幅	jiǎnfú
RECID=R2017103970003961	减负	jiǎnfù
RECID=R2017103970003962	减扣	jiǎnkòu
RECID=R2017103970003963	减亏	jiǎnkuī
RECID=R2017103970003964	减利	jiǎnlì
RECID=R2017103970003965	减龄	jiǎnlínɡ
RECID=R2017103970003966	减排点	jiǎnpáidiǎn
RECID=R2017103970003967	减让	jiǎnrànɡ
RECID=R2017103970003968	减税	jiǎnshuì
RECID=R2017103970003969	减税房	jiǎnshuìfánɡ
RECID=R2017103970003970	减税让利	jiǎnshuìrànɡlì
RECID=R2017103970003971	减塑日	jiǎnsùrì
RECID=R2017103970003972	减停	jiǎntínɡ
RECID=R2017103970003973	减压	jiǎnyā
RECID=R2017103970003974	减压节	JiǎnyāJié
RECID=R2017103970003975	减灾	jiǎnzāi
RECID=R2017103970003976	减噪	jiǎnzào
RECID=R2017103970003977	减支	jiǎnzhī
RECID=R2017103970003978	剪修	jiǎnxiū
RECID=R2017103970003979	简单方便女	jiǎndān-fānɡbiànnǚ
RECID=R2017103970003980	简房	jiǎnfánɡ
RECID=R2017103970003981	简复	jiǎnfù
RECID=R2017103970003982	简释	jiǎnshì
RECID=R2017103970003983	简速	jiǎnsù
RECID=R2017103970003984	简屋	jiǎnwū
RECID=R2017103970003985	简易房	jiǎnyìfánɡ
RECID=R2017103970003986	简易楼	jiǎnyìlóu
RECID=R2017103970003987	见光死	jiànɡuānɡsǐ
RECID=R2017103970003988	见面会	jiànmiànhuì
RECID=R2017103970003989	见俏	jiànqiào
RECID=R2017103970003990	见旺	jiànwànɡ
RECID=R2017103970003991	间谍甲虫	jiàndiéjiǎchónɡ
RECID=R2017103970003992	建仓	jiàncānɡ
RECID=R2017103970003993	建构	jiànɡòu
RECID=R2017103970003994	建管	jiànɡuǎn
RECID=R2017103970003995	建管局	Jiànɡuǎnjú
RECID=R2017103970003996	建基	jiànjī
RECID=R2017103970003997	建绿	jiànlǜ
RECID=R2017103970003998	建面	jiànmiàn
RECID=R2017103970003999	荐优	jiànyōu
RECID=R2017103970004000	贱视	jiànshì
RECID=R2017103970004001	剑客	jiànkè
RECID=R2017103970004002	剑手	jiànshǒu
RECID=R2017103970004003	健茶	jiànchá
RECID=R2017103970004004	健检	jiànjiǎn
RECID=R2017103970004005	健康城	jiànkānɡchénɡ
RECID=R2017103970004006	健康服务	jiànkānɡfúwù
RECID=R2017103970004007	健康工程	jiànkānɡɡōnɡchénɡ
RECID=R2017103970004008	健康楼盘	jiànkānɡlóupán
RECID=R2017103970004009	健康商数	jiànkānɡshānɡshù
RECID=R2017103970004010	健康食品	jiànkānɡshípǐn
RECID=R2017103970004011	健康消费	jiànkānɡxiāofèi
RECID=R2017103970004012	健康住宅	jiànkānɡzhùzhái
RECID=R2017103970004013	健美	jiànměi
RECID=R2017103970004014	健美比赛	jiànměibǐsài
RECID=R2017103970004015	健美操	jiànměicāo
RECID=R2017103970004016	健美服	jiànměifú
RECID=R2017103970004017	健美赛	jiànměisài
RECID=R2017103970004018	健美霜	jiànměishuānɡ
RECID=R2017103970004019	健美浴	jiànměiyù
RECID=R2017103970004020	健美院	jiànměiyuàn
RECID=R2017103970004021	健美运动	jiànměiyùndònɡ
RECID=R2017103970004022	健美猪	jiànměizhū
RECID=R2017103970004023	健商	jiànshānɡ
RECID=R2017103970004024	健身操	jiànshēncāo
RECID=R2017103970004025	健身路径	jiànshēnlùjìnɡ
RECID=R2017103970004026	健身球	jiànshēnqiú
RECID=R2017103970004027	健身小姐	jiànshēnxiǎojiě
RECID=R2017103970004028	健身浴	jiànshēnyù
RECID=R2017103970004029	健瘦鞋	jiànshòuxié
RECID=R2017103970004030	健胸	jiànxiōnɡ
RECID=R2017103970004031	渐冻症	jiàndònɡzhènɡ
RECID=R2017103970004032	鉴认	jiànrèn
RECID=R2017103970004033	键盘战士	jiànpánzhànshì
RECID=R2017103970004034	键入	jiànrù
RECID=R2017103970004035	僭建屋	jiànjiànwū
RECID=R2017103970004036	箭模	jiànmó
RECID=R2017103970004038	江葬	jiānɡzànɡ
RECID=R2017103970004039	将爱体	jiānɡ’àitǐ
RECID=R2017103970004040	将军肚	jiānɡjūndù
RECID=R2017103970004041	姜你军	jiānɡnǐjūn
RECID=R2017103970004042	僵麻	jiānɡmá
RECID=R2017103970004043	僵尸病毒	jiānɡshībìnɡdú
RECID=R2017103970004044	僵尸车	jiānɡshīchē
RECID=R2017103970004045	僵尸股	jiānɡshīɡǔ
RECID=R2017103970004046	僵尸手机	jiānɡshīshǒujī
RECID=R2017103970004047	奖额	jiǎnɡ’é
RECID=R2017103970004048	奖级	jiǎnɡjí
RECID=R2017103970004049	奖旗	jiǎnɡqí
RECID=R2017103970004050	奖授	jiǎnɡshòu
RECID=R2017103970004051	奖项	jiǎnɡxiànɡ
RECID=R2017103970004052	奖优	jiǎnɡyōu
RECID=R2017103970004053	奖主	jiǎnɡzhǔ
RECID=R2017103970004054	降等	jiànɡděnɡ
RECID=R2017103970004055	降幅	jiànɡfú
RECID=R2017103970004056	降耗	jiànɡhào
RECID=R2017103970004057	降价死	jiànɡjiàsǐ
RECID=R2017103970004058	降焦	jiànɡjiāo
RECID=R2017103970004059	降聘	jiànɡpìn
RECID=R2017103970004060	降温	jiànɡwēn
RECID=R2017103970004061	降息	jiànɡxī
RECID=R2017103970004062	降星	jiànɡxīnɡ
RECID=R2017103970004063	降噪	jiànɡzào
RECID=R2017103970004064	降准	jiànɡzhǔn
RECID=R2017103970004065	酱油帝	jiànɡyóudì
RECID=R2017103970004066	酱油男	jiànɡyóunán
RECID=R2017103970004067	酱油族	jiànɡyóuzú
RECID=R2017103970004069	交兵	jiāobīnɡ
RECID=R2017103970004070	交管	jiāoɡuǎn
RECID=R2017103970004071	交规	jiāoɡuī
RECID=R2017103970004072	交红	jiāohónɡ
RECID=R2017103970004073	交互式电视	jiāohùshìdiànshì
RECID=R2017103970004074	交换生	jiāohuànshēnɡ
RECID=R2017103970004075	交混	jiāohùn
RECID=R2017103970004076	交火	jiāohuǒ
RECID=R2017103970004077	交寄	jiāojì
RECID=R2017103970004078	交警超市	jiāojǐnɡchāoshì
RECID=R2017103970004079	交强险	jiāoqiánɡxiǎn
RECID=R2017103970004080	交通台	jiāotōnɡtái
RECID=R2017103970004081	交学费	jiāoxuéfèi
RECID=R2017103970004082	郊菜	jiāocài
RECID=R2017103970004083	娇嗲	jiāodiǎ
RECID=R2017103970004084	娇甜	jiāotián
RECID=R2017103970004085	骄人	jiāorén
RECID=R2017103970004086	胶囊公寓	jiāonánɡɡōnɡyù
RECID=R2017103970004087	蛟龙号	jiāolónɡhào
RECID=R2017103970004088	跤手	jiāoshǒu
RECID=R2017103970004089	跤坛	jiāotán
RECID=R2017103970004090	嚼吧	jiáobā
RECID=R2017103970004091	矫治	jiǎozhì
RECID=R2017103970004092	脚底按摩	jiǎodǐànmó
RECID=R2017103970004093	脚戒	jiǎojiè
RECID=R2017103970004094	脚戒指	jiǎojièzhi
RECID=R2017103970004095	脚链	jiǎoliàn
RECID=R2017103970004096	脚饰	jiǎoshì
RECID=R2017103970004097	缴交	jiǎojiāo
RECID=R2017103970004098	叫板	jiàobǎn
RECID=R2017103970004099	叫包人	jiàobāorén
RECID=R2017103970004100	叫客	jiàokè
RECID=R2017103970004101	叫停	jiàotínɡ
RECID=R2017103970004102	叫真	jiàozhēn
RECID=R2017103970004103	轿的	jiàodī
RECID=R2017103970004104	较技	jiàojì
RECID=R2017103970004105	较劲	jiàojìn
RECID=R2017103970004106	教德	jiàodé
RECID=R2017103970004107	教辅	jiàofǔ
RECID=R2017103970004108	教父	jiàofù
RECID=R2017103970004109	教坛	jiàotán
RECID=R2017103970004110	教星	jiàoxīnɡ
RECID=R2017103970004111	教育储备金	jiàoyùchǔbèijīn
RECID=R2017103970004112	教育贷款	jiàoyùdàikuǎn
RECID=R2017103970004113	教育扶贫	jiàoyùfúpín
RECID=R2017103970004114	教育救助	jiàoyùjiùzhù
RECID=R2017103970004115	教育特区	jiàoyùtèqū
RECID=R2017103970004117	接案	jiē’àn
RECID=R2017103970004118	接产	jiēchǎn
RECID=R2017103970004119	接轨	jiēɡuǐ
RECID=R2017103970004120	接警	jiējǐnɡ
RECID=R2017103970004121	接拍	jiēpāi
RECID=R2017103970004122	接戏	jiēxì
RECID=R2017103970004123	揭摆	jiēbǎi
RECID=R2017103970004124	揭弊	jiēbì
RECID=R2017103970004125	揭标	jiēbiāo
RECID=R2017103970004126	揭锅	jiēɡuō
RECID=R2017103970004127	揭劣	jiēliè
RECID=R2017103970004128	揭秘	jiēmì
RECID=R2017103970004129	揭牌	jiēpái
RECID=R2017103970004130	街吧	jiēbā
